COURSE_NO,COURSE_TITLE,BILL_HR_LOW,BILL_HR_HIGH,COLLEGE,DEPT,LEVEL,GRADE_MODE,SCHEDULE_TYPE,AVAILABILITY,PRE_REQ,DESCRIPTION
CHEM462,Research Project,0,3,Arts and Sciences,Chemistry and Earth Sciences,"(UG) - Undergraduate , ","(S) - Standard Letter , ","SP-Senior Project , ","F,S",,"This course gives students the opportunity to obtain, develop, demonstrate and acquire the necessary research skills in chemistry through learner – centric,  research informed and digitally enriched strategies. Topics are mostly interdisciplinary. One to one supervision of student will be provided from the faculty members to perform chemical research in a professional environment. The students are required to conduct literature review and to carry out an  experimental work, before writing a mini thesis and making an oral presentation ."
CHEM463,Research Project,3,,Arts and Sciences,Chemistry and Earth Sciences,"(UG) - Undergraduate , ","(S) - Standard Letter , ","SP-Senior Project , ",,CHEM362 ,"This research course gives students the opportunity to inculcate the culture of research, develop technical and experimental skills via one-toone supervision by a faculty member, and acquire soft skills (written and verbal) necessary to perform research in the areas of Chemistry. Emphases will be placed on conducting research projects of inter- and multidisciplinary nature."
CHME100,Energy for life,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",,"The course aims at developing the basic ideas of energy and their applications. It gives an overview of the main scientific principles and technologies related to conventional and unconventional energy resources. Fossil fuels (coal, oil, natural gas) are studied together with their societal and environmental impact and limitations. The course also introduces alternative energy resources, the opportunities, the technical foundations, as well as the associated risks. In particular, solar energy, wind, geothermal, and hydropower, together with various aspects of energy conservation are covered. In addition, the economic, societal and political issues related to the use of energy resources will be presented. Environmental issues related to energy such as global climate change, greenhouse gas emissions, effects on ecology and biodiversity (local-regional-global), responses to CO2 build-up and mitigation technologies will be covered. Focus will be given to the Middle East region."
CHME201,Intro to Chemical Engin I,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",F,PHYS191 AND CHEM101 ,"The basic principles and techniques used for calculation of material balances in chemical engineering processes are introduced. The material covered involves fundamentals of material balance calculations, including reactive and non-reactive systems, formulation and solution of increasingly complex chemical engineering process problems and familiarization with physical properties and behavior of ideal and real gases."
CHME202,Intro to Chemical Engin II,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",S,CHME201 ,"Vapor-liquid equilibrium calculations for systems containing one condensable component and for ideal multi-component solutions, including bubble and dew point calculations. Forms of energy, the first law of thermodynamics, thermodynamic data, energy balance equation for closed and open systems, simultaneous material and energy balances. Balances on non-reactive systems that involve heating and cooling, compression and decompression, phase changes, mixing of liquids, and dissolving of gasses and solids in liquids. Balances on reactive systems using either the heat of reaction method or the heat of formation method."
CHME212,Chemical Engin Thermod I,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",S,CHME201 ,"Fundamental concepts. Thermodynamic properties of fluids. Equations of state. Diagrams, tables, and generalized correlations of thermodynamic properties. Work and heat. First law of thermodynamics. Heat effect. Second law of thermodynamics. Power and refrigeration cycles."
CHME213,Fluid Mechanics,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",S,CHME201 ,"Fluid statistics. Viscosity of fluid and type of flow. Mass, energy, and momentum balance. Bernoulli’s equation. Pressure and Flow measurements. Potential flow. Fluid friction in pipes and fittings. One – dimensional gas flow. Pump and compressor design. Flow in packed beds and Ergun equation. Fluidization. Introduction to gas-liquid flow. Surface forces."
CHME235,Phys. Chem. for Chem. Eng.,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",F,CHEM102 ,"This course considers basic concepts of physical chemistry from an engineering perspective.Topics covered include properties of matter, phase diagrams, surface and colloid chemistry,adsorption, chemical kinetics, homogeneous and heterogeneous catalysis, electrochemistry and corrosion. These topics emphasize applications and examples of physical chemistry as they relate to chemical engineers."
CHME311,Heat Transfer,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",F,CHME202 AND CHME213 AND GENG300 ,"Conduction, convection and radiation. Insulation and fins. Thermal boundary layer and turbulence. Empirical relations for convection. Heat transfer for various geometries. Boiling and condensation heat transfer. Heat exchanger design."
CHME312,Chemical Engin Thermod II,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",F,CHME212 ,"Non-ideal behavior in systems of variable composition. Calculation of thermodynamic energy functions. Residual properties. Partial properties. Thermodynamic property tables and diagrams. Fugacity and fugacity coefficients. Heat effects of mixing. Excess properties and activity coefficients. Introduction to Vapor-liquid equilibria. Phase equilibria at low- to moderate-pressures. Dew point, bubble point and flash calculations. Chemical reaction equilibria. Equilibrium constants and dependence on temperature. Calculation of equilibrium conversions for single and multi reactions"
CHME313,Mass Transfer I,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",F,CHME311 ,"Molecular mass transfer. Estimation & measurement of diffusion coefficient. Analogies among mass, heat, & momentum transfer. Turbulence effects. Correlations for mass-transfer coefficients in laminar & turbulent flow. Interface mass transfer, Continuous two-phase transport. Design of absorption and stripping columns. Adsorption. Drying."
CHME314,Chemical Reaction Engin,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",S,CHME202 AND CHME212 ,"The rate of reaction, interpretation of kinetic data, batch reactors, continuous flow reactors, design equations for batch and flow reactors, reactors in series, the reaction rate constant, the reaction order, elementary, non-elementary, reversible, irreversible and multiple reactions, reactor sizing, volume change with reactions, isothermal and non-isothermal reactor design, pressure drop in reactors, unsteady state operation of reactors."
CHME315,Mass Transfer II,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",S,CHME313 ,"Distillation, liquid-liquid extraction and leaching. Humidification. Crystallization."
CHME324,Fluid Mechs& Heat Transfer Lab,1,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LB-Lab , ",F,CHME311 ,"Experiments in fluid flow and heat transfer: Frictional pressure losses in pipes & fittings, Pump performance, Convection, and Double pipe and Shell & tube heat exchangers."
CHME325,Unit Operations Lab,1,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LB-Lab , ",S,CHME313 ,"Experiments in mass transfer and separation processes: drying, humidification, gas absorption, molecular diffusion in gases, batch and fractional distillation. One experiment on fixed and fluidized bed."
CHME327,Comp. Methods in Chemical Eng.,1,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LB-Lab , ","F,S",CHME315 ,"The aim of the course is to introduce simulation tools for analysis, planning and management of chemical processes. Students will attain knowledge and skills to apply advanced chemical engineering software packages (e.g., Aspen Plus/Hysys, HTRI) to conduct design and simulation of chemical processes."
CHME361,Petroleum and Gas Technologies,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , LL-Lecture/Lab , ",F,CHEM275 ,"Refinery feedstock and crude oil properties, refinery products, refining processes and crude distillation, refined products blending. Natural gas processing and LNG technology. Primary petrochemical feedstock such as methane and ethylene. Petrochemical processes for the production of bulk petrochemical products such as ammonia, methanol and polyethylene. Clean fuels and Gas to Liquids technology. Emphasis will be put on environmental impact assessment of such technologies."
CHME399,Practical Training,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","IN-Internship , ",,,"Supervised eight-week training period at an approved engineering facility (consulting, contracting, industrial, government), intended to provide students with hands-on experience at the workplace. Evaluation is based on: Daily performance, supervisor’s input, student’s report, and a short presentation."
CHME405,Chemical Process Industries,2,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",F,CHME313 ,"This course considers the processing of raw materials into useful products. It aims to expose students to both established and emerging industries. Energy, fuels, process utilities, water conditioning and environmental protection will be addressed. Natural gas processing (such as LNG and GTL) and petrochemical industries will be studied. Safety related to chemical process industry will also be highlighted."
CHME406,Chemical Process Industries,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",,CHME313 ,"This course considers the processing of raw materials into useful products. It aims to expose students to both established and emerging industries. Energy, fuels, process utilities, water conditioning and environmental protection will be addressed. Natural gas processing (such as LNG and GTL) and petrochemical industries will be studied. Safety related to chemical process industry will also be highlighted"
CHME413,Process Modeling & Simulation,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",S,CHME314 AND MATH217 ,Mathematical modeling of chemical processes. Principles of formulation of fundamental and empirical models. Steady state and dynamic models. Applications using spreadsheets and commercial simulators.
CHME421,Senior Design Project I,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","SP-Senior Project , ",F,CHME315 ,"This course offers students the opportunity to work on practical real-world engineering process design via industrial projects. It focuses on process route selection, considering relevant and realistic constraints, development of proces s flow diagrams (PFDs), process material balances and energy requirements, utilizing simulation software; optimization of an industrial process using advanced integration design tools, and exposure to industrial safety. The design work will continue in CHME 422 (Senior Design Project II)."
CHME422,Senior Design Project II,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","SP-Senior Project , ",S,CHME421 AND GENG360 ,"In this course, students continue to work on the process selected in CHME 421 (Senior Design Project I). It focuses on conducting an environmental impact assessment of the designed process, economic & profitability analysis using Key Economic Performance Indicators (KPIs), detailed mechanical design of major process units  (e.g. heat exchangers, separators, distillation columns, and reactors) according to standards and codes, and using advanced computeraided  software (e.g. excel, Hysys and ASPEN Plus)."
CHME423,Process Control,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",CHME314 AND MATH217 ,"Introduction to practical and theoretical aspects of process control, process modeling, transfer functions, dynamics of open-loop systems, Control Station, feedback control system, instruments of control system, control laws (P, PI ,PD and PID), block diagrams, dynamics of closed-loop systems, Stability analysis, root-locus analysis, tuning of controllers, frequency analysis, Bode stability, cascade control, feed-forward control, other control schemes."
CHME426,Reaction Eng &Process Ctrl Lab,1,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LB-Lab , ","F,S",CHME314 AND CHME423 ,"Experiments in process control, reaction kinetics and membrane separation. Batch and flow reactors used for generating rate data. Includes the use of analog and digital control equipment."
CHME431,Petroleum Refining Process,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",S,CHEM211 OR CHEM209 ,"Origin of crude oil, introduction to exploration, drilling and production, refinery feedstock, refinery products, crude oil distillation, fluid catalytic cracking, hydrotreating, catalytic reforming, isomerization, polymerization, product blending, light end unit and other supporting processes, laboratory experiments in petroleum characterization."
CHME433,Petrochemical Technology,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",CHEM211 OR CHEM209 ,Petrochemical industry. Raw materials. Aliphatic and aromatic petrochemicals. Petrochemicals from methane. Petrochemicals from normal paraffins. Production of olefins. Petrochemicals from aromatics. Polymerization processes. Synthetic rubber. Fibers and proteins.
CHME435,Polymer Engineering,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",F,CHME213 AND (CHEM211 OR CHEM209 ),This course provides the basic building blocks of polymer science and engineering: the structure and properties of polymers; polymerization reactions; polymer solutions and molecular weight characterization; viscoelasticity and rubber elasticity; polymer processing and rheology; mechanical properties; and some special topics.
CHME444,Aluminum Production Technology,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",,CHEM101 AND CHEM103 ,"The present course will give a comprehensive overview of the process of industrial aluminium production. Topics covered range from theory and principles of electrolysis, electrolyte chemistry, thermodynamic considerations, and heat balance of electrolysis cells. The important concept of current efficiency will be discussed thoroughly. The two main challenges that the world’s aluminium industry will face in the years to come, energy and the environment, will be given great attention. Lecture sessions are complemented by weekly tutorials, giving students the opportunity to practice their knowledge, and to gain extensive experience in problem solving. Upon completion of the course the students will have gained a strong foundation for further studies of aluminium production and for a potential career in the aluminium industry."
CHME445,Desalination,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",CHME311 ,"Industrial desalination processes such as multistage flash, multiple effect distillation, reverse osmosis, and electrodialysis. Technical and economic analysis of desalination processes. Water quality and analysis."
CHME451,Intro to Gas Engineering,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",S,CHME312 ,Characterization of natural gas. Properties of reservoir fluids. Qualitative phase behavior. Vapor-liquid equilibrium calculations. Separator selection and design. Natural gas economics. Industrial utilization. Laboratory experiments in gas characterization.
CHME454,Natural Gas Treatment,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",CHME312 ,"The course presents an overview of the natural gas industry, from wellhead to marketplace, with emphasis on gas plant operations. Physical, chemical and thermodynamic properties of natural gas. Phase behavior of natural gas. Water hydrocarbon systems. Pipelines. Major processes for gas compression, dehydration, acid gas removal and sulfur recovery. Cryogenic Processes. LNG production. Storage and transportation. Field trips to LNG plants are also involved."
CHME455,Intr. to Biochemical Eng.,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",F,CHME314 ,"This course aims to introduce main aspects of biochemical engineering. It includes application of engineering principles to biochemical processes that employ living cells or enzymes. Topics covered include basic biology and biochemistry, enzyme kinetics, microbial growth kinetics, bioreactor design and scale-up, and transport phenomena. Biological waste treatment and bioseparation applications will be addressed."
CHME458,Process Saf.& Hazards Preve.,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",S,CHME312 ,"This course aims to establish concepts that lead to enhance process safety and hazards prevention, especially in chemical process industries. It includes application of chemical process safety principles, risk assessment and management, hazard and operability analysis, chemical engineering principles for risk reduction, industrial hygiene, and hazard identification. Case studies and term projects will be used to enhance students’ mastering of these principles"
CHME462,Pollution Control,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",F,CHEM102 ,"Characteristics and composition of industrial wastes, sampling and methods of analysis of industrial wastes, and remedial measures for treatment, in-plant conservation, material, reclamation, recycling and disposal, NOX, SOX and global warming, Membrane separation, waste identification, water treatment."
CHME463,Water Processes,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",,CHME213 ,"Water resources, basic chemistry of saline water, modeling and analysis of single effect desalination combined with mechanical vapor compression and thermal vapor compression, modeling of multiple effect desalination (MED), modeling of single and multistage desalination processes. Reverse osmosis, Introduction to other membrane processes, Pre- and post-treatment operations."
CHME464,Wastewater Treatment,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",CHME315 ,"This course aims to provide an overview of the engineering approach to wastewater treatment systems. It starts with a basic description and understanding of the principle unit operations and processes used in the treatment of wastewaters. Physical, chemical, and biological processes are presented, including sedimentation, filtration, biological treatment, disinfection, and sludge processing. It will extend to understanding the kinetic theory of biological growth, applying it to typical aerobic processes, and appreciating the purpose and practice of sludge treatment."
CHME466,Special Top in Chem Engin I,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",S,,"Selected topics from specialized areas of chemical engineering, aimed at broadening or deepening students’ knowledge and skills. The specific contents of the course are published one semester in advance."
CHME467,Special Top in Chem Engin II,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",S,,"Selected topics from specialized areas of chemical engineering, aimed at broadening or deepening students’ knowledge and skills. The specific contents of the course are published one semester in advance."
CHME470,Fund of Petroleum Engineering,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",,CHME213 AND CHME312 ,"The course covers different disciplines in petroleum engineering of the upstream operation, wellbore flow performance, production behavior and reservoir management. The course incorporates external lecturers from industry, to talk about one of the major petroleum engineering disciplines, as well as a field trip to see the drilling operations and surface facilities. In addition, a term project is included, to cover different disciplines of Petroleum Engineering."
CHME474,Process Equipment Design,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",,CHME315 ,"Material selection and mechanical design of heat exchangers, cooling towers, VLE columns, pumps/compressors, furnaces and pressure vessels. Factors influencing the design of vessels. Design of shell for float-bottomed cylindrical vessels. Proportioning and head selection for cylindrical vessels with formed closures. Design of cylindrical vessels with formed closures operating under high pressure."
CHME477,Process Integration,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",,CHME315 ,The course introduces advances in process integration and synthesis. It presents systematic techniques to gain insight into process mass and energy flows and it shows how these insights can be used to optimize process performance. Various mathematical and visualization tools are covered. Special focus is given to integration and synthesis methods.
CHME486,Corrosion Engineering,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",CHEM102 ,Study of corrosion mechanisms and techniques used in prevention and control. Electrochemistry and its application to corrosion. Materials selection for different environments
CHME488,Undergraduate Research,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",,ENGL203 AND GENG200 ,"This is a research-oriented course, which is aimed at enhancing students’ independent learning and research skills. A major research project in a chemical engineering topic is included. Such topics will involve theoretical, experimental or computational aspects. Students are expected to enhance and practice research skills in the assigned topic and present their results orally and in writing."
CHME495,Graduation Project I,1,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","SP-Senior Project , ",,,"An in-depth study of a project of defined chemical engineering significance, based on laboratory- or computer-oriented investigations. Students work in close accord with a faculty member on a project of mutual interest. Written reports and oral presentations are required for evaluation by the department. This course gives students the opportunity to demonstrate their ability to work under minimum supervision."
CHME496,Graduation Project II,3,,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","SP-Senior Project , ",,CHME495 ,"Continuation of CHME 495 Graduation Project I: “An in-depth study of a project of defined chemical engineering significance, based on laboratory- or computer-oriented investigations. Students work in close accord with a faculty member on a project of mutual interest. Written reports and oral presentations are required for evaluation by the department. This course gives students the opportunity to demonstrate their ability to work under minimum supervision.”"
CHME497,Independent Study,1,3,Engineering,Chemical Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",,CHME312 AND (CHEM211 OR CHEM209 ),"This technical elective is to be offered to a small number of students because of laboratory or other resource constraints, and is aimed at enhancing students’ independent learning of specialized aspects of chemical engineering."
CMPE261,Digital Logic Design,0,4,Engineering,Computer Science & Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LB-Lab , LC-Lecture , ",F,CMPS205 ,"Introduction to digital logic circuit design, combinational and sequential circuits. TTL logic family; combinational logic design; logic minimization techniques; logic implementation techniques for ROM, RAM, EPROM, and PLDs, flip flops; sequential logic design, state diagrams, logic minimization; registers and counters; synthesis and analysis of sequential machines. The laboratory provides experiments examining logic devices and circuits, and a final design project."
CMPE262,Digital Logic Des Laboratory,1,,Engineering,Computer Science & Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LB-Lab , ",,CMPE261 ,"Selected experiments examining logic devices and circuits, a final design project to accompany and complement the lecture course."
CMPE263,Computer Architecture & Org I,3,,Engineering,Computer Science & Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",S,CMPS205 AND (CMPS151 OR GENG106 ),"Higher-level concepts in computer architecture. Data representation; classic components of a computer; performance measures for computers; CPU types, design, organization, instruction-level description; processor programming, register transfer languages, addressing modes, assembly language; main and cache memory, caching techniques."
CMPE355,Data Communi & Comp.Network I,0,4,Engineering,Computer Science & Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LB-Lab , LC-Lecture , ",F,CMPS303 AND CMPE263 ,"Concepts and principles underlying data communication networks including TCP/IP protocol suite and OSI model, digital and analog conversions, and  multiplexing. Transmission impairments (e.g., probability of bit error), Ethernet, network layer protocols, IP addressing and subnetting, probability of packet error, UDP and TCP transport protocols, and application layer protocols. The laboratory provides hands-on experience in designing, simulating, configuring, and troubleshooting smallto-medium size networks ."
CMPE363,Computer Architecture & Org II,3,,Engineering,Computer Science & Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",F,CMPE263 AND CMPE261 ,"Fundamentals of computer organization. Central processing unit organization; hardwired control; arithmetic logic unit design and implementation; micro- programmed control, interrupts; instruction cycle and format, addressing modes; buses, pipelining, instruction-level parallelism; input/output system design; external storage."
CMPE364,Microprocessor Based Des,0,4,Engineering,Computer Science & Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LB-Lab , LC-Lecture , ",S,CMPE363 ,"This course focuses on microprocessor hardware and software for embedded systems, CPU organization, Assembly programming language, Instruction Set Architecture (ISA), memory access, and programmable I/O peripherals. It also includes Hands-on lab to design, build and test embedded systems using latest microprocessor technology, development frameworks and tools."
CMPE365,Microprocessor Based Des Lab,1,,Engineering,Computer Science & Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LB-Lab , ",,CMPE364 ,"Experiments to emphasize the practice of assembly language programming, data acquisition software techniques, and hardware for data acquisition systems."
CMPE370,Computer Engineering Practicum,1,,Engineering,Computer Science & Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LB-Lab , ",F,CMPE261 AND ELEC201 AND ELEC231 ,Introduction to hands-on broad hardware techniques and specific hardware skills useful for computer engineers. Circuit construction through soldering; personal computer hardware troubleshooting; project implementation using digital signal processing kits or advanced controller kits; embedded reverse engineering approaches; discrete component-based analog/digital circuits; programmable hardware designs.
CMPE399,Practical Training,3,,Engineering,Computer Science & Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","IN-Internship , ",,,"Supervised eight week training period at an institution (Business, industrial, government),  intended to provide students with hands-on experience at the workplace. Evaluation is based on: Daily performance, supervisor’s input, student’s report, and a short presentation."
CMPE455,Data Comm & Comp Networks I,3,,Engineering,Computer Science & Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",,CMPS303 AND CMPE263 AND CMPE456 ,"Fundamental concepts of communication systems such as the Internet, local area, metropolitan and wide area networks. Layered network architecture; transmission technology; data link layer protocols, broadcast networks and their protocols, flow and error control; concepts of the network layer and routing algorithms; services and protocols of the transport layer; examples of application layer protocols."
CMPE456,Data Comm & Comp Netwrks I Lab,1,,Engineering,Computer Science & Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LB-Lab , ",F,CMPE455 ,"Practical skills and hands-on experience needed to build small-to-medium size networks. Network simulation tools, installing, configuring, troubleshooting and monitoring computer networks and their components, protocols and services."
CMPE457,Data Comm & Comp Networks II,3,,Engineering,Computer Science & Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",S,CMPE455 OR CMPE355 ,"Builds upon fundamental knowledge and concepts addressed in the “Data Communications and Computer Networks I” course. Signal modulation, coding techniques; wireless transmission; radio frequency, multiplexing, circuit and packet switching, medium access control; interior and exterior routing protocols, autonomous systems, link state routing; IPv6 address space, transmission methods from IPv4 to IPv6; network and internet security, VPN, cryptography, encryption schemes, firewalls, intrusion detection; congestion control, quality of service; protocols for network management; network socket programming."
CMPE462,Computer Interfacing,0,3,Engineering,Computer Science & Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LB-Lab , LC-Lecture , ",F,CMPE364 ,Review of basic components in computer interfacing with real-world applications in graphical programming environments representing complete dataflow logic. Sensors; signal conditioning circuits; analog-digital converters; actuators; serial and parallel data interfacing with personal computers.
CMPE470,Mod Computer Organization,3,,Engineering,Computer Science & Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",F,CMPE363 ,"Discussion of current trends and future directions in computer organization highlighting various hardware and software techniques designed to maximize parallelism and improve performance within technological constraints. Non-von Neumann architectures; performance/cost enhancement techniques; cache memory, bus architecture, memory interleaving, pipelining, super-pipelining, super-scaling, vector computing, parallel organization; discussion of current research and publications in computer organization."
CMPE471,Sel Top in Cmptr Engin,3,,Engineering,Computer Science & Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",,Selected topics in the field of computer engineering addressing new trends and practical issues.
CMPE472,Performance Evaluation,3,,Engineering,Computer Science & Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",,GENG200 ,Introduction to performance analysis and evaluation. Modeling and evaluation of computer systems; Markov processes and chains; single and network queues; concurrent process modeling.
CMPE474,Artificial Neural Networks,3,,Engineering,Computer Science & Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",MATH217 ,"Introduction to theory, architecture, and applications of artificial neural systems; Supervised, unsupervised, and reinforcement learning in single and multiple layer neural networks; Associative neural memory recording and retrieval dynamics; Self-organizing maps; Learning capacity and generalization; Hardware implementations."
CMPE476,Digital Signal Processing,0,4,Engineering,Computer Science & Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LB-Lab , LC-Lecture , ",S,ELEC351 ,"Overview of continuous and discrete signal processing with hands-on algorithmic implementation of various signal transforms and other operators for generalized applications. Analog to digital conversion methods; sampling theory, discrete Fourier transform, fast Fourier transform, z-transforms; signal sampling and reconstruction; digital filters, correlation, spectral estimation. The laboratory provides practical experience in the implementation of digital signal processing algorithms using standard kits."
CMPE478,Digital Signal Processing Lab,1,,Engineering,Computer Science & Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LB-Lab , ",S,CMPE476 ,"Practical implementation of digital signal processing algorithms using standard kits. Audio signal filtering; spectral analysis of signals, de-convolution of composite signals, spectral shifting of audio signals; channel equalization for communication signals."
CMPE480,Computer Vision,3,,Engineering,Computer Science & Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LB-Lab , LC-Lecture , ",S,CMPS251 ,"Introduction to the basic concepts and techniques of computer vision focusing on reconstruction of 3D models from 2D still images and video. Image formation, segmentation; camera calibration, motion and object recognition; use of image processing tools."
CMPE481,Model and Sim of Digital Sys,3,,Engineering,Computer Science & Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",,CMPE261 ,Advanced concepts in digital logic design using language tools to describe digital logic systems at different levels of abstraction and simulation. Programmable logic devices; designing with field programmable gate arrays; synchronous and asynchronous sequential logic circuits.
CMPE482,Multimedia Networks,3,,Engineering,Computer Science & Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",S,CMPE455 OR CMPE355 ,"Analysis of main characteristics and challenges of multimedia delivery over IP networks with the analysis of main quality of service mechanisms used at each layer to allow for differentiated services with the ability to explain the main characteristics of IEEE standards for LANs and MANs. Multimedia applications; video and audio streaming; quality of service fundamentals and mechanisms; IEEE standards for wireless local, metropolitan, personal, and 3G area networks."
CMPE483,Introduction to Robotics,3,,Engineering,Computer Science & Engineering,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",CMPE261 AND CMPS151 ,"Use of robotics kits, robot assembly, familiarization with the basic concepts of sensing, actuation, and robotic intelligence. Basic robotic sensors; actuation functions; embedded robotic task-related intelligence levels; capstone project and report presentation."
